Brand,Price,Body.Type,Fuel.Type,Gearbox.Type,Power.hp,Displacement.l,Torque.lbft,Cylinders,Drivetrain,MPG.City,MPG.Highway,Seats,Doors,Height.in,Length.in,Width.in,Wheelbase.in,Clearance.in,Heater,AntiLock.Braking.System,Central.Locking,Power.Steering,Power.Windows,Brake.Assist,Central.Locking.1,Power.Door.Locks,Child.Safety.Locks,Rear.Seat.Belts,Door.Ajar.Warning,Adjustable.Seats,Crash.Sensor,Engine.Check.Warning,Rear.Camera,Anti.Theft.Device,Touch.Screen,Audio.System.Remote.Control,Speakers.Front...back,Bluetooth.Connectivity,USB...Auxiliary.Input,Adjustable.Steering.Column,Height.Adjustable.Driving.Seat,Digital.Clock,Electric.Folding.Rear.View.Mirror,Automatic.Climate.Control,Low.Fuel.Warning.Light,Parking.Sensors,Bottle.Holder,Seat.Belt.Warning,Vehicle.Stability.Control.System,Engine.Immobilizer,Rear.Reading.Lamp
Land Rover,139870,SUV,Hybrid,Automatic,394.0,2.0,407.0,4.0,all,33.0,39.0,7.0,5.0,79.0,201.0,84.0,121.0,12.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BMW,134100,Coupe,Petrol,Automatic,617.0,4.4,553.0,6.0,all,15.0,21.0,4.0,2.0,53.0,191.2,74.9,111.1,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Porsche,133200,SUV,Petrol,Automatic,541.0,4.0,567.0,6.0,all,15.0,19.0,5.0,4.0,65.9,194.0,78.1,114.0,7.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maserati,130120,Coupe,Petrol,Automatic,490.0,3.0,442.0,6.0,rear,16.0,24.0,4.0,2.0,53.3,192.2,72.7,115.8,3.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Land Rover,115000,SUV,Petrol,Automatic,518.0,5.0,461.0,6.0,all,15.0,19.0,5.0,4.0,77.5,180.5,79.1,101.9,8.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Nissan,113540,Coupe,Petrol,Automatic,565.0,3.8,467.0,6.0,front,17.0,22.0,4.0,2.0,55.0,188.0,76.0,111.0,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Chevrolet,112800,Convertible,Petrol,Automatic,670.0,5.5,460.0,6.0,rear,15.0,20.0,2.0,2.0,48.6,184.58,79.71,107.18,5.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Land Rover,112200,SUV,Petrol,Automatic,395.0,3.0,406.0,6.0,all,18.0,23.0,5.0,4.0,77.7,197.6,79.1,119.0,8.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Porsche,111700,Coupe,Petrol,Automatic,631.0,4.0,627.0,8.0,all,15.0,19.0,4.0,4.0,65.1,194.5,78.1,114.0,8.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Land Rover,111300,SUV,Petrol,Automatic,518.0,5.0,461.0,6.0,all,14.0,19.0,5.0,4.0,77.4,197.6,79.1,119.0,8.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jeep,110990,SUV,Petrol,Automatic,510.0,3.0,500.0,6.0,all,14.0,19.0,7.0,4.0,75.6,226.7,83.6,130.0,10.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cadillac,110000,SUV,Petrol,Automatic,668.0,6.2,659.0,8.0,all,13.0,16.0,7.0,4.0,76.4,227.0,81.0,134.1,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Land Rover,107900,SUV,Petrol,Automatic,518.0,5.0,461.0,8.0,all,15.0,19.0,5.0,4.0,77.5,180.4,79.1,101.9,8.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jeep,104840,SUV,Petrol,Automatic,510.0,3.0,500.0,6.0,all,14.0,19.0,7.0,4.0,79.6,226.7,94.0,130.0,8.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Porsche,103200,SUV,Petrol,Automatic,335.0,3.0,332.0,8.0,all,17.0,22.0,5.0,4.0,65.9,194.0,78.1,114.0,7.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maserati,101390,Sedan,Unknown,Automatic,424.0,3.0,428.0,6.0,all,16.0,24.0,5.0,4.0,57.5,195.7,76.6,118.0,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lexus,101000,SUV,Petrol,Automatic,409.0,3.5,479.0,6.0,all,17.0,22.0,7.0,4.0,74.6,200.5,78.3,112.2,7.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maserati,98890,Sedan,Unknown,Automatic,424.0,3.0,428.0,6.0,rear,18.0,25.0,5.0,4.0,57.5,195.7,76.6,118.0,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jeep,98090,SUV,Petrol,Automatic,510.0,3.0,500.0,6.0,all,14.0,19.0,7.0,4.0,79.6,226.7,94.0,130.0,8.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jeep,98090,SUV,Petrol,Automatic,510.0,3.0,500.0,6.0,all,14.0,19.0,7.0,4.0,79.6,226.7,94.0,130.0,8.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mercedes,97450,Hatchback,Unknown,Automatic,416.0,2.0,370.0,4.0,all,26.0,28.0,5.0,4.0,56.0,178.0,80.0,109.0,7.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Porsche,97300,SUV,Petrol,Automatic,434.0,2.9,405.0,6.0,all,16.0,22.0,5.0,4.0,66.8,193.7,78.1,114.0,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Porsche,97000,Hatchback,Petrol,Automatic,325.0,2.9,331.0,6.0,all,18.0,24.0,4.0,4.0,56.0,198.8,78.2,116.1,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Porsche,95150,SUV,Hybrid,Automatic,335.0,3.0,332.0,8.0,all,17.0,22.0,5.0,4.0,65.9,194.5,78.1,114.0,7.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Audi,94500,SUV,Unknown,Automatic,500.0,4.0,568.0,6.0,all,14.0,20.0,5.0,4.0,67.2,196.6,78.5,117.9,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Audi,94500,SUV,Petrol,Automatic,500.0,4.0,568.0,6.0,all,15.0,21.0,5.0,4.0,67.2,196.6,78.5,117.9,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jeep,93990,SUV,Petrol,Automatic,510.0,3.0,500.0,6.0,all,14.0,19.0,7.0,4.0,79.6,226.7,94.0,130.0,8.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Porsche,92400,Hatchback,Petrol,Automatic,325.0,2.9,331.0,6.0,rear,18.0,24.0,4.0,4.0,56.0,198.8,76.3,116.1,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jeep,91490,SUV,Petrol,Automatic,510.0,3.0,500.0,6.0,all,14.0,19.0,7.0,4.0,79.6,226.7,94.0,130.0,8.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cadillac,90995,Sedan,Petrol,Manual,668.0,6.2,659.0,8.0,rear,13.0,21.0,5.0,4.0,56.6,194.9,74.1,116.0,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Dodge,90000,SUV,Petrol,Automatic,710.0,6.2,640.0,8.0,all,12.0,17.0,6.0,4.0,69.8,200.8,76.4,119.8,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Toyota,89990,SUV,Petrol,Automatic,304.0,3.3,518.0,6.0,all,13.0,17.0,8.0,5.0,78.0,199.0,79.0,114.0,9.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jeep,89990,SUV,Petrol,Automatic,510.0,3.0,500.0,6.0,all,14.0,19.0,7.0,4.0,79.6,226.7,94.0,130.0,8.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jaguar,89500,SUV,Petrol,Automatic,550.0,5.0,516.0,8.0,all,15.0,21.0,5.0,4.0,65.7,187.5,81.5,113.2,8.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mercedes,89050,Convertible,Petrol,Automatic,429.0,3.0,384.0,6.0,all,21.0,27.0,4.0,2.0,56.2,190.6,73.2,113.1,4.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BMW,89000,SUV,Petrol,Automatic,248.0,2.0,258.0,4.0,all,21.0,28.0,5.0,4.0,63.8,187.6,75.5,112.8,7.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BMW,87500,Sedan,Petrol,Automatic,523.0,4.4,553.0,8.0,all,17.0,24.0,5.0,4.0,55.4,200.3,76.1,119.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Chevrolet,86990,SUV,Petrol,Automatic,420.0,6.2,460.0,8.0,all,14.0,29.0,7.0,5.0,75.7,225.7,81.1,134.1,7.51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Audi,86500,SUV,Petrol,Automatic,500.0,4.0,568.0,8.0,all,15.0,21.0,7.0,4.0,68.5,199.6,77.6,117.9,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jaguar,86000,Coupe,Petrol,Automatic,444.0,5.0,428.0,8.0,rear,17.0,24.0,2.0,2.0,51.6,176.0,74.2,103.2,4.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Infiniti,84850,SUV,Petrol,Automatic,400.0,5.6,413.0,8.0,all,13.0,19.0,7.0,5.0,75.8,210.2,79.9,121.1,9.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Infiniti,84850,SUV,Petrol,Automatic,400.0,5.6,413.0,8.0,rear,14.0,20.0,7.0,5.0,75.8,210.2,79.9,121.1,9.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Audi,84400,SUV,Hybrid,Automatic,335.0,3.0,273.0,6.0,all,17.0,22.0,5.0,4.0,67.2,196.6,78.5,117.9,5.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jaguar,83900,Convertible,Petrol,Automatic,444.0,5.0,428.0,8.0,all,16.0,24.0,2.0,2.0,51.6,176.0,74.2,103.2,4.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Audi,82490,Coupe,Unknown,Automatic,394.0,2.5,354.0,6.0,all,20.0,30.0,4.0,4.0,52.9,165.0,72.1,98.6,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maserati,82300,Sedan,Petrol,Automatic,345.0,3.0,369.0,6.0,rear,17.0,25.0,5.0,4.0,57.5,195.7,76.6,118.0,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mercedes,82100,Coupe,Petrol,Automatic,429.0,3.0,384.0,6.0,all,21.0,28.0,4.0,2.0,56.2,190.6,73.2,113.1,4.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maserati,81800,SUV,Petrol,Automatic,345.0,3.0,369.0,6.0,all,16.0,22.0,5.0,4.0,66.1,197.0,77.5,118.3,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
